Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT, RST",434121025816,2,SW_Push,
"C1, C2",0805,2,10uF,
"C6, C7",0805,2,0.1uF,
D1,0805,1,RED,
"D2, D3",0805,2,green,
J1,SHENZHEN-CHUANGQIN-TECHNOLOGY_CQ-USB-C16PSMT01,1,CQ-USB-C16PSMT01,
"R1, R2",0805,2,5.1k,
"R10, R11, R12",0805,3,150,
"R6, R7",0805,2,10k,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8",SW_Cherry_MX_1.00u_PCB,8,SW_Push,
SW13,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
U1,SOT230P700X180-4N,1,TLV1117-33,
X1,ESP32S3WROOM1N8R2,1,ESP32-S3-WROOM-1-N16R8,
